week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
13,NYJ,ATL,39,17,0.03,27,24,False,False,USA,East Rutherford,NJ,2025-11-30T18:00Z
13,TB,ARI,80,22,0.0,20,17,False,False,USA,Tampa,FL,2025-11-30T18:00Z
13,CAR,LAR,45,8,0.0,31,28,False,False,USA,Charlotte,NC,2025-11-30T18:00Z
13,SEA,MIN,43,10,0.0,26,0,False,False,USA,Seattle,WA,2025-11-30T21:05Z
13,PIT,BUF,38,34,0.0,7,26,False,False,USA,Pittsburgh,PA,2025-11-30T21:25Z
13,LAC,LV,61,10,0.0,31,14,False,False,USA,Inglewood,CA,2025-11-30T21:25Z
13,WSH,DEN,34,7,0.0,26,27,False,False,USA,Landover,MD,2025-12-01T01:20Z
13,NE,NYG,34,30,0.16,33,15,False,False,USA,Foxborough,MA,2025-12-02T01:15Z
14,DET,DAL,,,,44,30,True,False,USA,Detroit,MI,2025-12-05T01:15Z
14,ATL,SEA,,,,9,37,True,False,USA,Atlanta,GA,2025-12-07T18:00Z
14,BUF,CIN,32,23,0.04,39,34,False,False,USA,Orchard Park,NY,2025-12-07T18:00Z
14,CLE,TEN,33,8,0.01,29,31,False,False,USA,Cleveland,OH,2025-12-07T18:00Z
14,MIN,WSH,,,,31,0,True,False,USA,Minneapolis,MN,2025-12-07T18:00Z
14,NYJ,MIA,41,9,0.0,10,34,False,False,USA,East Rutherford,NJ,2025-12-07T18:00Z
14,TB,NO,72,14,0.04,20,24,False,False,USA,Tampa,FL,2025-12-07T18:00Z
14,JAX,IND,62,9,0.0,36,19,False,False,USA,Jacksonville,FL,2025-12-07T18:00Z
14,BAL,PIT,39,8,0.0,22,27,False,False,USA,Baltimore,MD,2025-12-07T18:00Z
14,LV,DEN,,,,17,24,True,False,USA,Las Vegas,NV,2025-12-07T21:05Z
14,GB,CHI,16,13,0.0,28,21,False,False,USA,Green Bay,WI,2025-12-07T21:25Z
14,ARI,LAR,,,,17,45,True,False,USA,Glendale,AZ,2025-12-07T21:25Z
14,KC,HOU,34,20,0.0,10,20,False,False,USA,Kansas City,MO,2025-12-08T01:20Z
14,LAC,PHI,71,4,0.0,22,19,False,False,USA,Inglewood,CA,2025-12-09T01:15Z
15,TB,ATL,62,4,0.0,28,29,False,False,USA,Tampa,FL,2025-12-12T01:15Z
15,CHI,CLE,3,21,0.0,31,3,False,False,USA,Chicago,IL,2025-12-14T18:00Z
15,CIN,BAL,4,19,0.0,0,24,False,False,USA,Cincinnati,OH,2025-12-14T18:00Z
15,KC,LAC,16,8,0.0,13,16,False,False,USA,Kansas City,MO,2025-12-14T18:00Z
15,NE,BUF,32,16,0.02,31,35,False,False,USA,Foxborough,MA,2025-12-14T18:00Z
15,NYG,WSH,27,22,0.01,21,29,False,False,USA,East Rutherford,NJ,2025-12-14T18:00Z
15,PHI,LV,27,28,0.0,31,0,False,False,USA,Philadelphia,PA,2025-12-14T18:00Z
15,JAX,NYJ,70,18,0.0,48,20,False,False,USA,Jacksonville,FL,2025-12-14T18:00Z
15,HOU,ARI,,,,40,20,True,False,USA,Houston,TX,2025-12-14T18:00Z
15,DEN,GB,56,8,0.0,34,26,False,False,USA,Denver,CO,2025-12-14T21:25Z
15,LAR,DET,64,8,0.0,41,34,False,False,USA,Inglewood,CA,2025-12-14T21:25Z
15,NO,CAR,,,,20,17,True,False,USA,New Orleans,LA,2025-12-14T21:25Z
15,SF,TEN,49,12,0.0,37,24,False,False,USA,Santa Clara,CA,2025-12-14T21:25Z
15,SEA,IND,52,15,0.0,18,16,False,False,USA,Seattle,WA,2025-12-14T21:25Z
15,DAL,MIN,,,,26,34,True,False,USA,Arlington,TX,2025-12-15T01:20Z
15,PIT,MIA,32,14,0.0,28,15,False,False,USA,Pittsburgh,PA,2025-12-16T01:15Z
16,SEA,LAR,43,30,0.0,38,37,False,False,USA,Seattle,WA,2025-12-19T01:15Z
16,WSH,PHI,43,14,0.0,18,29,False,False,USA,Landover,MD,2025-12-20T22:00Z
16,CHI,GB,29,11,0.0,22,16,False,False,USA,Chicago,IL,2025-12-21T01:20Z
16,CLE,BUF,27,24,0.0,20,23,False,False,USA,Cleveland,OH,2025-12-21T18:00Z
16,DAL,LAC,,,,17,34,True,False,USA,Arlington,TX,2025-12-21T18:00Z
16,TEN,KC,47,18,0.0,26,9,False,False,USA,Nashville,TN,2025-12-21T18:00Z
16,MIA,CIN,78,12,0.0,21,45,False,False,USA,Miami Gardens,FL,2025-12-21T18:00Z
16,NO,NYJ,,,,29,6,True,False,USA,New Orleans,LA,2025-12-21T18:00Z
16,NYG,MIN,46,20,0.0,13,16,False,False,USA,East Rutherford,NJ,2025-12-21T18:00Z
16,CAR,TB,57,16,0.0,23,20,False,False,USA,Charlotte,NC,2025-12-21T18:00Z
16,DEN,JAX,57,9,0.0,20,34,False,False,USA,Denver,CO,2025-12-21T21:05Z
16,ARI,ATL,,,,19,26,True,False,USA,Glendale,AZ,2025-12-21T21:05Z
16,DET,PIT,,,,24,29,True,False,USA,Detroit,MI,2025-12-21T21:25Z
16,HOU,LV,,,,23,21,True,False,USA,Houston,TX,2025-12-21T21:25Z
16,BAL,NE,33,7,0.0,24,28,False,False,USA,Baltimore,MD,2025-12-22T01:20Z
16,IND,SF,,,,27,48,True,False,USA,Indianapolis,IN,2025-12-23T01:15Z
17,WSH,DAL,46,19,0.01,23,30,False,False,USA,Landover,MD,2025-12-25T18:00Z
17,MIN,DET,,,,23,10,True,False,USA,Minneapolis,MN,2025-12-25T21:30Z
17,KC,DEN,52,2,0.0,13,20,False,False,USA,Kansas City,MO,2025-12-26T01:15Z
17,LAC,HOU,58,9,0.0,16,20,False,False,USA,Inglewood,CA,2025-12-27T21:30Z
17,GB,BAL,32,24,0.11,24,41,False,False,USA,Green Bay,WI,2025-12-28T01:00Z
17,CIN,ARI,63,28,0.0,37,14,False,False,USA,Cincinnati,OH,2025-12-28T18:00Z
17,CLE,PIT,43,16,0.02,13,6,False,False,USA,Cleveland,OH,2025-12-28T18:00Z
17,TEN,NO,68,32,0.0,26,34,False,False,USA,Nashville,TN,2025-12-28T18:00Z
17,IND,JAX,,,,17,23,True,False,USA,Indianapolis,IN,2025-12-28T18:00Z
17,MIA,TB,77,10,0.0,20,17,False,False,USA,Miami Gardens,FL,2025-12-28T18:00Z
17,NYJ,NE,22,5,0.0,10,42,False,False,USA,East Rutherford,NJ,2025-12-28T18:00Z
17,CAR,SEA,46,11,0.0,10,27,False,False,USA,Charlotte,NC,2025-12-28T18:00Z
17,LV,NYG,,,,10,34,True,False,USA,Las Vegas,NV,2025-12-28T21:05Z
17,BUF,PHI,39,5,0.11,12,13,False,False,USA,Orchard Park,NY,2025-12-28T21:25Z
17,SF,CHI,58,10,0.0,42,38,False,False,USA,Santa Clara,CA,2025-12-29T01:20Z
17,ATL,LAR,,,,27,24,True,False,USA,Atlanta,GA,2025-12-30T01:15Z
