name,position,team,adp,bye_week,injury_status,id
Tai Felton,WR,MIN,236.70000000000002,6,Questionable,12496
Malaki Starks,DB,BAL,195.1,7,Healthy,12567
Jordan Battle,DB,CIN,290.6,10,Healthy,10927
David Marvin,K,,293.8,0,Healthy,5247
Puka Nacua,WR,LAR,13.528571428571428,8,Healthy,9493
Andrei Iosivas,WR,CIN,252.48333333333332,10,Healthy,10226
Maxx Crosby,DE,LV,97.5,8,Healthy,5991
Buccaneers,DEF,TB,235.41428571428574,9,Healthy,TB
Calvin Ridley,WR,TEN,98.65714285714286,10,Questionable,4981
Kenny Pickett,QB,LV,294.1,8,Questionable,8160
Chop Robinson,DE,MIA,380.2,12,Healthy,11663
Will Shipley,RB,PHI,239.84285714285716,9,Healthy,11577
Chimere Dike,WR,TEN,263.76666666666665,10,Healthy,12540
A.J. Brown,WR,PHI,24.97142857142857,9,Healthy,5859
Christian McCaffrey,RB,SF,24.87142857142857,14,Healthy,4034
Diontae Johnson,WR,,277.65999999999997,0,Healthy,5937
Myles Garrett,DE,CLE,108.4,9,Healthy,3973
Quay Walker,LB,GB,234.6,5,Healthy,8266
Justin Fields,QB,NYJ,124.7,9,Healthy,7591
Amari Cooper,WR,LV,250.41666666666666,8,Healthy,2309
Saquon Barkley,RB,PHI,7.942857142857143,9,Healthy,4866
Byron Young,LB,LAR,328.3,8,Healthy,10917
Jason Sanders,K,MIA,244.4,12,IR,5119
Tony Pollard,RB,TEN,92.17142857142858,10,Healthy,5967
Clayton Tune,QB,GB,300.0,5,Healthy,10217
Alex Singleton,LB,DEN,198.4,12,Healthy,2617
Jaylin Lane,WR,WAS,261.725,12,Healthy,12641
Tre Tucker,WR,LV,297.7,8,Healthy,10213
Trey McBride,TE,ARI,22.928571428571427,8,Healthy,8130
Alec Pierce,WR,IND,245.29999999999998,11,Healthy,8142
Hunter Henry,TE,NE,198.77142857142857,14,Healthy,3214
Trevor Lawrence,QB,JAX,130.71428571428572,8,Healthy,7523
Jaxson Dart,QB,NYG,180.22857142857143,14,Healthy,12508
Evan Engram,TE,DEN,113.89999999999999,12,Healthy,4066
Jacory Croskey-Merritt,RB,WAS,219.34285714285716,12,Healthy,12533
Khalil Mack,LB,LAC,390.6,12,Healthy,2036
Tyler Nubin,DB,NYG,256.0,14,Healthy,11674
