id,name,team,position,bye_week,fantasy_points,injury_status,drafted_by,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4685472,Tetairoa McMillan,CAR,WR,14,12.29880891,ACTIVE,Striking Shibas,False,170.0,76.8517745302714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4685382,Omarion Hampton,LAC,RB,12,14.91172812,ACTIVE,Sea Sharp,False,170.0,65.7593984962406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4569987,Jaylen Warren,PIT,RB,5,13.69373941,ACTIVE,Annihilators,False,170.0,72.95488721804512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4689936,Jake Bates,DET,K,8,8.31306274,ACTIVE,Chase-ing points,False,170.0,91.64285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4567048,Kenneth Walker III,SEA,RB,8,13.01807791,ACTIVE,Pidgin,False,170.0,66.25563909774436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4567750,Emeka Egbuka,TB,WR,9,5.53126835,ACTIVE,Saquon Deez,False,170.0,32.00208768267223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3915511,Joe Burrow,CIN,QB,10,19.06730813,ACTIVE,Chase-ing points,False,170.0,86.93401015228427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4242355,Jake Ferguson,DAL,TE,10,9.42841774,QUESTIONABLE,Fishoutawater,False,170.0,59.20603015075377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360248,Kyle Pitts Sr.,ATL,TE,5,12.71503981,ACTIVE,Pidgin,False,170.0,93.03517587939699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3121023,Dallas Goedert,PHI,TE,9,10.09624375,ACTIVE,Annihilators,False,170.0,83.58291457286431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
