id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
2976499,Amari Cooper,CLE,WR,5,0,0,184.5,146.8,89.8,ACTIVE,6.7,16.0,24.6,2.6,,14.8,4.2,14.9,24.9,15.8,7.4,3.6,11.4,11.5,12.7,13.3,
4366031,Tank Dell,HOU,WR,7,0,0,181.2,132.1,95.4,QUESTIONABLE,6.4,20.2,25.5,3.9,8.3,,,6.1,29.6,18.9,28.9,17.2,16.2,,,,
4262921,Justin Jefferson,MIN,WR,13,0,0,180.1,49.2,84.6,ACTIVE,24.0,24.9,27.9,26.5,5.8,,,,,,,,,16.1,18.9,19.2,16.8
4362249,Jayden Reed,GB,WR,6,0,0,179.7,168.9,88.8,ACTIVE,6.6,19.7,9.3,10.5,1.7,,11.1,12.3,7.0,19.4,19.2,15.0,10.2,12.2,13.7,,11.8
4035676,Zack Moss,CIN,RB,7,0,0,178.6,143.7,88.3,ACTIVE,,20.7,22.5,9.0,33.5,17.9,,14.4,2.6,0.2,,9.0,16.4,16.9,15.5,,
4429160,De'Von Achane,MIA,RB,10,0,0,178.5,107.4,83.9,ACTIVE,,1.9,51.3,27.0,21.5,,,,,,1.5,,13.3,16.5,15.0,14.4,16.0
4047365,Josh Jacobs,GB,RB,6,0,0,178.4,22.4,98.3,ACTIVE,9.1,9.9,11.0,27.9,19.9,,5.1,16.8,21.8,12.7,6.1,22.5,,15.6,,,
3051926,Gus Edwards,LAC,RB,5,0,0,178.2,157.9,90.5,ACTIVE,5.2,12.2,5.1,6.9,,6.3,21.4,29.4,17.2,9.8,21.0,4.7,,10.0,7.8,11.5,9.7
4361432,Romeo Doubs,GB,WR,6,0,0,177.2,169.3,87.7,ACTIVE,18.6,5.0,18.3,18.5,1.4,,11.0,11.8,6.6,12.1,16.3,6.7,9.6,10.9,10.8,10.3,9.3
3051876,Evan Engram,JAX,TE,9,0,0,175.9,128.3,96.2,ACTIVE,9.9,11.7,13.7,12.9,6.8,11.1,9.5,16.8,,5.2,6.9,9.9,11.8,11.5,13.0,12.9,12.2
4241457,Najee Harris,PIT,RB,6,0,0,175.9,146.8,85.0,ACTIVE,5.3,5.3,6.5,11.3,5.0,,15.8,10.5,15.6,18.6,4.6,15.9,13.1,12.2,12.0,12.0,12.2
4258595,Cole Kmet,CHI,TE,13,0,0,175.2,163.5,96.8,QUESTIONABLE,9.4,7.8,4.2,27.6,15.2,2.9,,17.9,23.5,9.6,5.0,11.3,,10.5,9.6,10.6,10.2
4426354,George Pickens,PIT,WR,6,0,0,174.4,144.1,87.4,ACTIVE,8.6,22.7,11.5,5.5,26.6,,15.7,9.2,1.9,7.5,7.7,8.8,9.6,8.9,8.9,9.8,11.4
3123076,David Njoku,CLE,TE,5,0,0,171.7,143.6,94.3,ACTIVE,4.4,6.8,6.0,10.6,,5.4,10.4,17.7,12.6,11.8,12.6,11.9,12.9,10.8,11.1,13.2,13.4
4243537,Gabe Davis,JAX,WR,9,0,0,171.5,158.6,89.1,ACTIVE,5.2,21.2,10.3,15.1,22.0,3.1,1.6,23.7,,9.6,,22.5,,11.4,9.5,7.9,8.4
-16006,Cowboys D/ST,DAL,DST,7,0,0,171.1,79.4,100.0,ACTIVE,35.0,16.0,-2.0,26.0,-3.0,6.0,,16.0,4.0,11.0,23.0,14.0,6.7,5.6,4.6,3.8,4.4
4361579,Javonte Williams,DEN,RB,9,0,0,169.4,146.1,84.4,ACTIVE,9.7,7.8,8.5,3.9,,7.2,12.6,18.8,,21.0,7.3,10.1,13.1,13.1,13.1,11.5,11.7
4038524,Gardner Minshew,LV,QB,13,0,0,166.8,170.1,78.7,ACTIVE,,11.1,13.1,,6.3,9.6,27.1,14.8,9.6,5.7,,14.6,,14.6,13.4,13.7,13.2
4241416,Chuba Hubbard,CAR,RB,7,0,0,166.3,168.2,83.3,ACTIVE,8.9,10.0,2.4,7.3,4.5,16.0,,7.4,10.7,5.9,8.5,20.2,11.3,12.9,12.8,14.0,13.5
4688813,Josh Downs,IND,WR,11,0,0,166.1,160.7,86.3,ACTIVE,6.0,7.7,13.7,5.4,15.7,13.1,23.5,14.2,2.0,6.0,,9.3,11.5,10.8,9.4,9.5,8.2
4426502,Drake London,ATL,WR,11,0,0,164.9,157.8,86.0,ACTIVE,,18.7,5.1,11.8,14.7,21.5,11.4,10.5,,6.6,,14.1,10.4,10.5,9.6,10.2,9.7
4242355,Jake Ferguson,DAL,TE,7,0,0,164.6,153.1,93.7,ACTIVE,3.1,10.1,9.8,14.7,5.8,2.5,,14.7,22.1,12.6,6.2,4.5,10.4,11.2,11.7,12.6,12.7
4685720,Bryce Young,CAR,QB,7,0,0,164.4,168.9,75.9,ACTIVE,7.5,13.5,,7.2,18.3,12.7,,14.5,9.0,9.2,5.2,8.1,13.0,11.8,10.4,12.1,11.9
3895856,Christian Kirk,JAX,WR,9,0,0,159.5,140.3,91.9,QUESTIONABLE,1.9,22.0,15.4,16.4,14.4,13.9,19.0,8.6,,14.4,7.8,12.9,12.8,,,,
4569173,Rhamondre Stevenson,NE,RB,11,0,0,158.8,92.6,90.0,QUESTIONABLE,14.9,15.0,7.2,6.0,2.4,18.0,14.5,7.0,22.9,13.2,,21.7,16.0,,,,
4361307,Trey McBride,ARI,TE,14,0,0,156.5,165.1,93.1,ACTIVE,4.3,5.2,1.2,1.5,3.7,10.2,5.9,25.5,5.2,21.1,9.3,13.0,11.2,,12.9,13.0,13.3
